Name,Tags,Department,Type,Last edited,Last edited by,Files,Owner,Slug,Date
2023 Holiday Schedule,Benefits,HR,,"July 14, 2023 12:33 PM",Addison,,,,
5 Ways Your PT Clinic Is Violating HIPAA on Social Media,,Marketing,"Done, Education","August 17, 2023 11:33 AM",Addison,,,,
Acknowledge  or Unacknowledged an Appointment,,Front Office,Done,"May 24, 2023 1:26 PM",Addison,,,,
Action Plan templates,Policy and Procedure,Ops,Done,"October 3, 2023 12:27 PM",Samantha,,,,
Adding an Appointment to the Schedule,,Front Office,Done,"May 24, 2023 2:10 PM",Addison,,,,
Adding Authorizations,,Front Office,Done,"May 24, 2023 2:10 PM",Addison,,,,
Adding Insurance Information,,Front Office,Done,"June 1, 2023 2:14 AM",Addison,,,,
Advanced Work Rehabilitation Guidelines,,Workers Comp,,"October 20, 2023 10:41 AM",Addison,,,,
Advent Printable,,,,"September 15, 2023 11:33 AM",Addison,,,,
Agile Login,,Front Office,Done,"June 1, 2023 2:14 AM",Addison,,,,
AgileRPM Welcome Page Overview,,Front Office,Done,"June 1, 2023 2:14 AM",Addison,,,,
Alliance 2023 Benefit Guide,Benefits,HR,,"September 13, 2023 10:44 AM",Addison,Front%20Office%20Operations%2002ddedf18c36408186e1e65e800ade10/Alliance_2023_Benefit_Guide.pdf,,,
Alliance Care Model,,Ops,,"October 3, 2023 1:23 PM",Addison,,,,
Alliance Inclement Weather Guidelines,Policy and Procedure,Ops,,"October 3, 2023 12:36 PM",Samantha,,,,
Alliance Print E-Store FAQs,,Marketing,Done,"June 1, 2023 1:30 PM",Addison,,,,
Alliance PT - Access Instruction Sheet,Third Party Doc,Front Office,Done,"August 18, 2023 9:18 AM",Addison,,,,
Alliance PTP CD Expectations 1.1.22,Policy and Procedure,Ops,,"October 3, 2023 12:28 PM",Samantha,,,,
Alliance Registration Instructions,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:13 AM",Addison,,,,
Alliance-FOC-Training-Manual-August-2019_1112,,Front Office,Help,"September 22, 2023 12:58 PM",Addison,,,,
Alliance-Social-Media-Policy,,Marketing,"Form, Help","June 14, 2023 3:10 PM",Samantha,,,,
APTP Handbook update 2023,,HR,,"September 15, 2023 2:21 PM",Addison,,,,
APTP Powerpoint Template,,"All Staff, Front Office, HR, Marketing, Ops, TA",Help,"August 17, 2023 11:34 AM",Addison,,Samantha,,
Authorization for Release of Protected Health Information,,Compliance,,"September 6, 2023 11:02 AM",Addison,,,,
Authorizations-System Alerts and Tracking,,Front Office,Done,"June 1, 2023 2:13 AM",Addison,,,,
Back In Motion PTA Manual Therapy Techniques Checklist,Patient Management,Ops,,"October 3, 2023 12:28 PM",Samantha,,,,
Baseline Testing,,Workers Comp,,"October 3, 2023 3:15 PM",Addison,,,,
Being Professional - What Does it Mean,Performance Management,Ops,,"October 3, 2023 12:29 PM",Samantha,,,,
Bereavement and Jury Duty Requests in Paycor,"Paycor, Third Party Doc",HR,,"August 18, 2023 9:13 AM",Addison,,,,
Call Box Healthcare Marketing Platform Walkthrough,Third Party Doc,Marketing,Help,"August 18, 2023 9:12 AM",Addison,,,,
Call Box Healthcare Role Guide - Office Manager,Third Party Doc,Marketing,Done,"August 17, 2023 12:44 PM",Addison,,,,
Cancel an Appointment,,Front Office,Done,"June 1, 2023 2:13 AM",Addison,,,,
CANCELLATION AND NO SHOW NOTICE,Schedule Management,Ops,,"October 3, 2023 12:29 PM",Samantha,,,,
