Name,Tags,Department
Referral Bonus Policy 3.15.22,,HR
Alliance 2023 Benefit Guide,Benefits,HR
Job Posting Process,,"HR, TA"
New Hire Process 2023,,"HR, TA"
APTP Handbook update 2023,,HR
Stay Interview Questions,Performance Management,"HR, Ops"
APTP Powerpoint Template,,"All Staff, Front Office, HR, Marketing, Ops, TA"
CST All-Star Nomination Form,,HR
SOL Registration Instructions,"Paycor, Third Party Doc",HR
Whatcom Registration Instructions,"Paycor, Third Party Doc",HR
Alliance Registration Instructions,"Paycor, Third Party Doc",HR
Bereavement and Jury Duty Requests in Paycor,"Paycor, Third Party Doc",HR
Time Dashboard Filter Setup - Whatcom,"Paycor, Third Party Doc",HR
Time Dashboard Filter Setup - SOL,"Paycor, Third Party Doc",HR
Time Dashboard Filter Setup - ERS,"Paycor, Third Party Doc",HR
Time Dashboard Filter Setup - APTP,"Paycor, Third Party Doc",HR
Time Dashboard Filter Setup - APTP Group 2,"Paycor, Third Party Doc",HR
Punching in and out with Paycor,"Paycor, Third Party Doc",HR
"Punching in and out of a new rate or location ","Paycor, Third Party Doc",HR
PTO Requests in Paycor,"Paycor, Third Party Doc",HR
Managing Time Off Requests,"Paycor, Third Party Doc",HR
Entering Mileage - Work-Fit,"Paycor, Third Party Doc",HR
Entering Mileage - Outpatient Clinics and CST,"Paycor, Third Party Doc",HR
Entering Coverage Pay - Work-Fit,"Paycor, Third Party Doc",HR
Employee Time Cards for Managers,"Paycor, Third Party Doc",HR
2023 Holiday Schedule,Benefits,HR
Profile Summary,"Paycor, Third Party Doc",HR
Employee Referral Form,,HR
ERS Registration Instructions,"Paycor, Third Party Doc",HR
Employee Mobile App,"Benefits, Third Party Doc",HR
EmployeeConnect Services - ENGLISH,Third Party Doc,HR
Employee View,Third Party Doc,HR
Working Advantage Flyer,Third Party Doc,HR
