2023,Status,Owner,Dates,Priority,Completion,Tasks,Blocked By,Is Blocking,Description,ID,Launch date,Tag,Teams,Vendor,milestone
New Project,Planning,,,,,,,,,,,,,,
P2301 - ISP Outsource & Consolidation,In Progress,,"November 1, 2023 → January 31, 2024",,,,,,"This effort will convert disparate ISPs to one, centrally managed ISP.  This effort will save effort in billing and support areas and provide better speed and reliability for our clinics",P2301,,,"CorpFin, IT, Ops",Rectangle,
"P2302 - Implement CCP Solution ",In Progress,,"March 1, 2023 → January 31, 2024",High,,,,,"This effort will address current issues will CCP. Primary goal is to be able to process payments in an efficient way at an acceptable rate.   ",,,,,,
P2303 -  Exit Colo and on prem - move to cloud,Backlog,,,,,,,,,,,,,Motio,
P2304 - Implement SSO,Backlog,,,,,,,,,,,,,Motio,
P2305 - Migrate GP to Azure,Backlog,,,,,,,,,,,,,,
P2306 - Allied Rehab Archival,Planning,,"November 15, 2023 → January 17, 2024",,,,,,,,,,,,
P2307 - ERS EMR to Archival,Planning,,"November 16, 2023 → January 17, 2024",,,,,,,,,,,,
XX -  Implement Passive Network Monitoring,Backlog,,,,,,,,,,,,,,
XX - Codify NewHire and Termination Process,Backlog,,,,,,,,,,,,,,
XX - Enterprise Integration / Middleware / Hub,Backlog,,,,,,,,,,,,,,
XX - Fax Migration,Backlog,,,,,,,,,,,,,,
"XX - Implement Password Management ",Backlog,,,,,,,,,,,,,,
"XX - Implement Role Based Provision & Security ",Backlog,,,,,,,,,,,,,,
XX - Migrate Work Fit from ATS to Healthy Roster,Backlog,,,,,,,,,,,,,,
" XX - Cloud Migration - Active Directory",Backlog,,,,,,,,,,,,,Motio,
XX - Migrate Work Fit from Connectria to Azure,Backlog,,,,,,,,,,,,,,
"XX - Obtain Microsoft Enterprise Agreement ",Backlog,,,,,,,,,,,,,,
"XX - Outsource L1 helpdesk ",Backlog,,,,,,,,,,,,,,
XX - Refine Asset Managment Process,Backlog,,,,,,,,,,,,,,
XX - Upgrade Digital Fax/Signature Solution,Backlog,,,,,,,,,,,,,,
XX Paycor integration with AD,Backlog,,,,,,,,,,,,,,
