Name,Tags,Department
Net Promoter Score Quick Reference Guide,Performance Management,"Marketing, Ops"
5 Ways Your PT Clinic Is Violating HIPAA on Social Media,,Marketing
Call Box Healthcare Role Guide - Office Manager,Third Party Doc,Marketing
Call Box Healthcare Marketing Platform Walkthrough,Third Party Doc,Marketing
Alliance-Social-Media-Policy,,Marketing
"Email collection rates, CVR",,Marketing
Imp of Social Media_Tiers,,Marketing
Updated Letterheads,,Marketing
Social Media Champion Training,Social Media,Marketing
APTP Powerpoint Template,,"All Staff, Front Office, HR, Marketing, Ops, TA"
Zoom Backgrounds,,Marketing
Alliance Print E-Store FAQs,,Marketing
